Locales 	total time	perf
1	261.57	34269.13
2	156.37	57323.12
4	93.12	96260.31
8	49.84	179832.55
16	25.32	353990.53
32	12.65	708358.24
64	10.48	855021.82
128	5.19	1725578.32
256	2.58	3468655.40
512	1.26	7086641.89
