Locales 	total time	perf 
8	314.248	249507.8545
16	162.791	481643.6446
32	88.043	890554.3790
64	54.2702	1444760.1449
128	28.9653	2706946.7993
256	16.4493	4766606.0055
512	8.4303	9300711.6625
