# Final results for PAW (9d02ce5)
Locales 	total time	perf 
1	147.208	60891.4203
2	89.4872	100167.9018
4	56.5453	158523.3539
8	32.6364	274654.5834
16	16.9906	527570.5414
32	10.3896	862759.2550
64	5.7449	1560308.9970
128	3.1168	2875939.1063
256	1.8811	4765084.9554
512	1.0232	8760158.1858
