Locales 	total time	perf
1	-	-
2	106.15164	84442
4	71.269494	125773
8	40.789938	219754
16	21.543063	416085
32	11.927319	751531
64	6.306736	1.4213e+06
128	3.660114	2.44903e+06
256	2.910481	3.07982e+06
512	3.300182	2.71614e+06
