Locales 	total time	perf 
8	291.06	269384.2211
16	160.80	487578.1863
32	96.38	813460.8478
64	63.01	1244299.3006
128	42.62	1839510.4647
256	30.37	2580942.3131
512	25.0	2880942.3131
